# Name : name of the node
# MedianPersistence : posterior median time to next node
# MinPersistenceInterval : minimum of 90.00 percent credible interval
# MaxPersistenceInterval : maximum of 90.00 percent credible interval
#
#Name	MedianPersistence	MinPersistenceInterval	MaxPersistenceInterval
28	0.947450	0.206600	2.005500
30	0.999600	0.417500	1.657500
29	1.306950	0.384800	2.303300
20	8.546450	4.898700	10.111600
12	0.544250	0.121400	1.417300
18	0.502550	0.107300	1.273900
26	1.387300	0.675500	2.370600
38	2.280850	1.622300	2.761800
21	0.857550	0.180000	2.667300
27	1.058250	0.435500	1.782900
32	0.772500	0.272200	1.464900
35	1.573550	0.442200	2.732800
25	0.672550	0.132600	1.742500
14	1.682000	0.414700	3.033600
Aichi/1968	0.102941	0.007185	0.474200
15	1.053500	0.220500	2.404200
16	0.519950	0.119000	1.344700
8	0.577850	0.119000	1.469700
2	1.463200	0.408588	3.469500
37	0.352100	0.093300	0.841000
1	0.421650	0.098400	1.271600
19	1.395900	0.221000	3.059300
34	1.475900	0.360900	2.755000
10	2.500800	1.382300	3.553700
13	0.936800	0.244800	1.958500
3	0.678900	0.184700	1.823760
