#name	fraction_identities
cds:ADX87378 A/Beijing/080302/2009 2009/08/03 NP	0.93574
cds:ADX21092 A/Cambodia/NHRCC00010/2009 2009/10/15 NP	0.93712
cds:AAK18005 A/Hong Kong/497/97 1997// NP	0.93775
cds:ACX46212 A/Darwin/4/2005 2005/06/01 NP	0.93775
cds:ACZ05987 A/New York/3536/2009 2009/05/15 NP	0.93775
cds:ADL39369 A/New Jersey/WRAIR1146P/2009 2009/01/ NP	0.93775
cds:ADR78629 A/Nanjing/1654/2010 2010/09/10 NP	0.93775
cds:AEA77303 A/Boston/5/2009 2009/01/30 NP	0.93775
cds:ABW40140 A/Illinois/UR06-0528/2007 2007/03/06 NP	0.93976
cds:ABW40657 A/Oregon/UR06-0272/2007 2007/02/13 NP	0.93976
cds:ACI26542 A/Pennsylvania/PIT43/2008 2008/02/20 NP	0.93976
cds:ACO36379 A/Managua/112.01/2007 2007/06/07 NP	0.93976
cds:ACR15209 A/Taiwan/2361/2007 2007/11/12 NP	0.93976
cds:ACX46225 A/Wisconsin/3/2007 2007// NP	0.93976
cds:ACX46226 A/BRISBANE/9/2006 2006/06/22 NP	0.93976
cds:ACZ05341 A/New York/3135/2009 2009/05/02 NP	0.93976
cds:ACZ05550 A/New York/3309/2009 2009/05/05 NP	0.93976
cds:ACZ05976 A/New York/3542/2009 2009/05/17 NP	0.93976
cds:ACZ05998 A/New York/3738/2009 2009/05/20 NP	0.93976
cds:ACZ06009 A/New York/3752/2009 2009/06/01 NP	0.93976
cds:ACZ81553 A/Thailand/CU-H16/2009 2009/06/17 NP	0.93976
cds:ADK94239 A/California/VRDL288/2009 2009/04/30 NP	0.93976
cds:ADK94294 A/California/VRDL343/2009 2009/05/11 NP	0.93976
cds:ADK94349 A/California/VRDL352/2009 2009/05/11 NP	0.93976
cds:ADK98880 A/California/VRDL259/2009 2009/04/29 NP	0.93976
cds:ADL39138 A/Dakar/WRAIR0011T/2009 2009/06/29 NP	0.93976
cds:ADN90011 A/Managua/1535.03/2010 2010/06/08 NP	0.93976
cds:ADX87383 A/Beijing/073103/2009 2009/07/31 NP	0.93976
cds:AEA73325 A/Managua/3704.06/2010 2010/05/28 NP	0.93976
cds:AEB71973 A/Boston/97/2009 2009/05/11 NP	0.93976
cds:AAX76747 A/New York/194/2003 2003/02/05 NP	0.94141
cds:ACX46217 A/Wellington/61/2006 2006/07/24 NP	0.94165
cds:ABA42295 A/New York/395/2005 2005/01/24 NP	0.94177
cds:ABO32820 A/Queensland/53/2005 2005/07/26 NP	0.94177
cds:ABV29814 A/Vermont/UR06-0524/2007 2007/03/05 NP	0.94177
cds:ABV29825 A/California/UR06-0347/2007 2007/02/19 NP	0.94177
cds:ABV30067 A/Vermont/UR06-0471/2007 2007/02/28 NP	0.94177
cds:ABV30408 A/Texas/UR06-0418/2007 2007/02/26 NP	0.94177
cds:ABV45985 A/Colorado/UR06-0558/2007 2007/03/07 NP	0.94177
